Artista,Album,Estado (disco/caratula),Precio,Comuna,Tienda
The Beatles,Abbey Road,bueno,25000,PROVIDENCIA,DISCOS EL OIDO
Queen,A Night at the Opera,excelente,30000,SANTIAGO CENTRO,ZONA DISCOS
Pink Floyd,The Dark Side of the Moon,regular,18000,ÑUÑOA,VINILOS CHILE
Led Zeppelin,Led Zeppelin IV,bueno,22000,LA FLORIDA,MUSIC WORLD
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,excelente,28000,LAS CONDES,Feria Persa
Michael Jackson,Thriller,bueno,15000,MACUL,Disqueria MUSIC
Fleetwood Mac,Rumours,regular,20000,PROVIDENCIA,VINILOS IMPORTADOS
Nirvana,Nevermind,excelente,35000,SANTIAGO CENTRO,TIENDA MUSICAL
Radiohead,OK Computer,bueno,24000,ÑUÑOA,LA DISQUERIA
Red Hot Chili Peppers,Californication,regular,19000,LA FLORIDA,DISCOS ANTIGUOS
