Artista,Album,Estado (disco/caratula),Precio,Comuna,Tienda
10 cc.,Bloody Turists,epoca,15000,QUILLOTA,VINILOS SANTOS DIABLOS
10 cc.,How dare you!!,epoca,15000,QUILLOTA,VINILOS SANTOS DIABLOS
2 UNLIMITED,THE REAL THING (HOLANDA),epoca,20000,QUILLOTA,VINILOS SANTOS DIABLOS
A HA ,HUNTING HIGH AND LOW,nuevo,24000,QUILLOTA,VINILOS SANTOS DIABLOS
ABBA,THE VISITORS,epoca,28000,QUILLOTA,VINILOS SANTOS DIABLOS
ABBA,VOULEZ VOUZ,epoca,28000,MACUL ,KIWIDISTRO
ABC,HOW TO BE A….ZILLIONAIRE!,epoca,28000,MACUL ,KIWIDISTRO
AC DC - BACK IN BLACK                 LP,BACK IN BLACK,nuevo,28000,MACUL ,KIWIDISTRO
AC-DC,DIRTY DEEDS DONE DIRT DHEAP (ARG),epoca,26000,MACUL ,KIWIDISTRO
AC-DC,THE RAZOR EDGE,epoca,30000,MACUL ,KIWIDISTRO
AEROSMITH,LIVE,epoca,20000,MACUL ,KIWIDISTRO
AIR SUPPLY ,THE ONE THAT YOU LOVE,epoca,28000,MACUL ,KIWIDISTRO
AIR SUPPLY ,NOW AND FOREVER,epoca,28000,SANTA CRUZ,MALDITA CRUZ
AIR SUPPLY ,LOST IN LOVE,epoca,28000,SANTA CRUZ,MALDITA CRUZ
AL DI MEOLA,ELEGANT GYPSY,epoca,30000,SANTA CRUZ,MALDITA CRUZ
AL JARREAU,ALL FLY HOME,epoca,28000,SANTA CRUZ,MALDITA CRUZ
ALAN PARSONS PROJECT,PIRAMIDE (ARGENTINO),epoca,23000,SANTA CRUZ,MALDITA CRUZ
ALANIS MORRISSETTE (2 LP),Collection,nuevo,55000,SANTA CRUZ,MALDITA CRUZ
ALCATRAZZ,NO PAROLE FROM ROCK ´N´ROLL,epoca,33000,SANTA CRUZ,MALDITA CRUZ
ALEX ANWANDTER - AMIGA                LP,AMIGA,nuevo,27000,SANTA CRUZ,MALDITA CRUZ
ALICE IN CHAINS - JAR OF FLIES (REMAS LP,JAR OF FLIES (REMASTERED),nuevo,27000,SANTA CRUZ,MALDITA CRUZ
"ALLIN, GG & ANTISEEN",MURDER JUNKIES,"(PUNK) ""USA""",28000,VALPARAISO,DISQUERIA ORANGE
"AMPEX, THE",THE AMPEX,"(Garage Rock, Beat, Rock & Roll) ""Colombia""",29000,VALPARAISO,DISQUERIA ORANGE
ANA GABRIEL,SILUETA (VENEZUELA),epoca,18000,VALPARAISO,DISQUERIA ORANGE
ANA GABRIEL,EN VIVO (COL),epoca,23000,VALPARAISO,DISQUERIA ORANGE
ANA GABRIEL,QUIEN COMO TU (VNZL),epoca,29000,VALPARAISO,DISQUERIA ORANGE
Andy Summers/ Robert Fripp (ARGENTINO),Bewitched,epoca,30000,VALPARAISO,DISQUERIA ORANGE
ANTHRAX,I´M THE MAN,epoca,28000,VALPARAISO,DISQUERIA ORANGE
ANTISEEN,THE DAWN OF ANTISEEN 1984-1986,"(PUNK ROCK) ""USA""",28000,VALPARAISO,DISQUERIA ORANGE
APPETIZERS,VARIOUS JAZZ (JACO PASTORIUS - JOHN Mc LAUGHLIN - ROGER - LENA HORNE),epoca,28000,VALPARAISO,DISQUERIA ORANGE
ATTAQUE 77,ANGELES CAIDOS,nuevo,33000,VALPARAISO,DISQUERIA ORANGE
Bachman Turner Overdrive BTO,Bachman Turner Overdrive BTO (1973) ,epoca,26400,VALPARAISO,DISQUERIA ORANGE
Bad Company,Desolation Angels,epoca,22000,VALPARAISO,DISQUERIA ORANGE
BAD COMPANY ,BAD COMPANY ,epoca,25000,VALPARAISO,DISQUERIA ORANGE
Barclay James Harvest,Everyone is every body else,epoca,19800,VALPARAISO,DISQUERIA ORANGE
Barclay James Harvest,Gone to earth,epoca,19800,VALPARAISO,DISQUERIA ORANGE
BARON ROJO,VOLUMEN BRUTAL (en español) (Venzl),epoca,38000,VALPARAISO,DISQUERIA ORANGE
BARON ROJO,LARGA VIDA AL ROCK AND ROLL (Venzl),epoca,35000,VALPARAISO,DISQUERIA ORANGE
BARON ROJO,METALMORFOSIS (Venzl),epoca,45000,VALPARAISO,DISQUERIA ORANGE
BARON ROJO,BARON AL ROJO VIVO (Bélgica) 2 LP,epoca,45000,VALPARAISO,DISQUERIA ORANGE
BARRY WHITE,JUST ANOTHER WAY TO SAY I LOVE YOU (COL),epoca,18000,VALPARAISO,DISQUERIA ORANGE
BARRY WHITE,Sings For Someone You Love,epoca,23000,VALPARAISO,DISQUERIA ORANGE
BARRY WHITE,I Love To Sing The Songs I Sing,epoca,20000,VALPARAISO,DISQUERIA ORANGE
BARRY WHITE - ,GREATEST HIST,nuevo,27000,VALPARAISO,DISQUERIA ORANGE
BARYY WHITE,CAN´T GET ENOUCH,epoca,28000,VALPARAISO,DISQUERIA ORANGE
BEATLES  THE - ,LET IT BE (SPECIAL EDITION),nuevo,32000,VALPARAISO,DISQUERIA ORANGE
BEATLES  THE - ,Rubber Soul,nuevo,32000,VALPARAISO,DISQUERIA ORANGE
BEATLES THE - ABBEY ROAD  ANNIVERSA   LP,ABBEY ROAD (ANNIVERSARY EDITION),nuevo,28000,VALPARAISO,DISQUERIA ORANGE
BEATLES THE - REVOLVER (REMASTER)     LP,REVOLVER (REMASTER),nuevo,28000,VALPARAISO,DISQUERIA ORANGE
BEATLES THE - SGT  PEPPERS LONELY HE LP, SGT. PEPPERS LONELY HEARTS CLUB BAND,nuevo,28000,VALPARAISO,DISQUERIA ORANGE
